#Example    Fitness:         Number Of Shifts

1           720             12
2           720             12
3           360             12
4           360             12
5           720             12
6           360             12
7           720             12
8           180             12
9           360             12
10           720             12
11           480             16
12           960             16
13           960             16
14           960             16
15           480             16
16           240             16
17           960             16
18           960             16
19           240             16
20           960             16
21           600             20
22           1200             20
23           300             20
24           600             20
25           600             20
26           1200             20
27           300             20
28           300             20
29           1200             20
30           1200             20
